title,subtitle,image_url,genre,created_at,band,content,author,type
"Read All The Lyrics To Tame Impala’s New Album ‘Deadbeat’
","It’s the long-awaited follow-up to 2020’s ‘The Slow Rush.’
",tame_impala.jpg,Alternative,10/17/25,Tame Impala,"“Ty Dolla $ign isn’t the only musician returning today after a five-year break in solo albums. Tame Impala, the recording project of Kevin Parker, is back with *Deadbeat*, the follow-up to 2020’s *The Slow Rush*.\n\nIn the years since his last album, Parker has become a father, written music for some movies (*Barbie*, *Dungeons & Dragons*, *Minions*) and collaborated with the likes of Justice and Thundercat.\n\nParker is known as a studio rat and a perfectionist, but on this album—inspired by the “bush doof” rave scene of Western Australia—he decided to take a different approach.\n\n“I was just really drawn into sounds that were quite… just really simple and stripped back and like sometimes distorted,” Kevin told Australia’s triple j radio. “Because I think for someone like me who’s sort of always obsessed with songs and sounds are like this expansive pop thing. I always just love the opposite of that, the pendulum swing in the other way.””",Ken Partridge,release
Joji Struggles To Connect On New Song “PIXELATED KISSES”,It’s his first new music since 2022.,joji.jpg,Alternative,10/14/25,Joji,"“It’s been three years since Joji released his third studio album, 2022’s *SMITHEREENS*, but today, the Japanese Australian singer, rapper, songwriter, and producer is back with “PIXELATED KISSES,” a self-produced, self-written rumination on love in the time of smartphones.\n\n“PIXELATED KISSES” is built on bleak, grinding synths and booming drums that contrast with Joji’s hypnotic melody. The song only has two parts—a chorus and a post-chorus—and in the first of them, Joji tries to connect with his lover from the other side of the globe. They’re completely dependent on technology, and there’s something cold about their interactions, even when everything is working properly.\n\nOn the post-chorus, Joji can’t get a read on how this other person is actually feeling. There might be a service outage, or it might just be that it’s impossible to communicate certain emotions on a tiny screen.”",Ken Partridge,release
50 Cent Defends Using AI To Remix His Own Music: ‘I Really Like Those Songs!’,,50.jpg,Rap,10/20/25,50 Cent,"“50 Cent‘s AI remixes aren’t just light-hearted fun — they help to showcase his musical genius in a new light, according to the man himself.\n\nThe G-Unit boss recently dabbled in the artificial intelligence trend by posting computer-generated renditions of “21 Questions” and “God Gave Me Style” that reimagined them as 1960s Motown-inspired anthems.\n\nThe move may have ruffled a few feathers given how controversial AI is in music, but if you ask 50, he’ll tell you there’s a lesser-known benefit to giving rap songs the AI remix treatment.\n\n“I really like those songs!” he told *Complex*. “Look, it will reach someone that I missed. Someone who couldn’t hear what I was trying to say to them in the writing can hear it now that it’s in that format. They’ll go, ‘Oh, yo! Play that again!’”\n\nFif added: “I don’t know where AI get these voices from, but these are some good voices! If these guys came out in that time period, they would have been competition for the guys that were there.”\n\nPressed for his thoughts on the growing concerns over AI, the *Power* mogul — ever the entrepreneur — said: “I don’t like fighting fights that I can’t win. I don’t think you can beat AI; I think you need to go with it.\n\n“I think we need to look at how we create businesses that work well with it and perform faster and progress as [AI] progresses because it’s not gonna stop progress.”\n\n50 Cent’s argument about his AI remixes making his songs more accessible to a wider audience checks out. Do a quick scan of his Instagram posts and you’ll see dozens of comments praising his songwriting ability and melodic sensibilities.\n\n“This proves how great of a songwriter 50 is. Great writing works no matter the melody,” one fan commented, while another said: “Proof that every timeline still finds a way to make him iconic.”\n\nThere were also plenty of jokes, too, with one aspiring comedian writing: “Curtis Jackson & The Units.” Someone else quipped: “Nat King Curt.”\n\n50 hinted that there might be more where these came from, captioning one of his posts: “Now this shit is hot 🔥 I’m a use AI on all my unreleased songs and see what I got for ya!””
",Andy Bustard,general
"Twenty One Pilots’ “Breach” encourages growth, grace
",,breach.jpg,Rock,09/16/25,Twenty One Pilots,"“After hearing Twenty One Pilots’ “Breach” for the first time, I immediately wanted to hear it again – backwards. The last four words, “Just try to be,” didn’t feel like a clean ending to me, and I was stuck trying to figure out how we landed on that confusing imperative.\n\nTwenty One Pilots, made up of drummer Josh Dun and vocalist Tyler Joseph, uses their music both to validate the listener and to push them to grow, and in the wake of the final song “Intentions,” I wasn’t sure how I felt. But I felt comfortable trusting the heavily autotuned songs to say something important about my humanity.\n\nThe release of “Breach” was profoundly hyped: the album is the final chapter of a partially extramusical narrative that began with TOP’s “Blurryface.” In case you don’t have time to catch up on the lore, I will be judging this album on how relatable it is to the Rice listener. Does the music meet you where you are? And can it make you want to change?\n\n“Entertain my faith,” Joseph demands in “City Walls,” the album’s first song. “City Walls” is about trying to find an opening, and the scariness of going after something as a leader rather than a follower. The song introduces a quest to become a better person, but the album acknowledges that we’re not working in a vacuum.\n\n“RAWFEAR” is a reminder that there isn’t always space for our quests or even our fears. “Drum Show” is sung by a driver who’ll hit the gas or brakes to bargain with their demanding lifestyle, avoiding feelings and home.\n\nHiding out in shame is a theme throughout “Breach,” but because the album is so catchy, it doesn’t shame the listener for the lyrics they relate to. In songs like “The Contract,” Joseph echoes lines about the same unhealthy coping mechanisms over and over, without romanticization or judgement. “I don't sleep much, that's crazy, how'd you know that? / Keep myself up,” he sings, his voice distorted gently.\n\nHe admits to having breached contracts, but skirts further mention of his guilt until “Downstairs,” the album’s longest song, where he asks for help.\n\nThe addressee of “Downstairs” could be a friend or family member, but it’s far more likely the mercy the speaker asks for is divine. “I want to be the one after your own heart,” he sings, calling himself a “dirty and wretched one.”\n\nIn the following song, “Robot Voices,” he finds genuine love, and reassuring robot voices are credited as helpers. It does feel like we just went from a song about God to a song about robots. But we also went from a song about hiding to one about being found.”
",Cora Wareh,news
"Taylor Swift on Her Giant Engagement Diamond & Travis Kelce's Proposal: ""He's My…""","The ""Life of a Showgirl"" singer shared engagement details on The Tonight Show. ",taylor.jpg,Pop,08/28/25,Taylor Swift,"""During the """"Life of a Showgirl"""" singer's October 6 Tonight Show interview, Swift spilled to Jimmy Fallon about her new album and her new fiancé, all while nearly blinding him with the rock on her finger. She gushed about the engagement ring, which Kelce had made by designer Kindred Lubeck.\n\n""""I look at it constantly,"""" she admitted. """"It doesn't feel in any way normal for me. I'm just sort of like, 'Oh, man! Whoa!'""""\n\nThe ring is beautiful, of course, but that's not the only reason Swift can't take her eyes off of it.\n\n""""He's just my favorite person I have ever met, no offense to everyone else,"""" she said of the Kansas City Chiefs player.\n\n""""The fact that this is the person that I get to hang out with everyday forever, that's the whole thing of it,"""" Swift continued. """"You look at [the ring] and you're like, 'I get to hang out with him forever,' and this represents that.""""\n\nSwift shared that Kelce had the ring """"for a really long time"""" before the proposal, which took place in a """"secret garden oasis"""" in his backyard, right after she recorded an episode of his podcast New Heights.\n\n""""I think for Travis, the podcast was just sort of like a distraction sort of ruse to keep me not looking out the windows of the house,"""" she said.\n\n""""Every time he does the podcast, it's not like he blacks out all the windows, but it's fully blackout drapes on every single window of the whole house,"""" she remembered. """"I was like, 'He is so serious about this, and I really appreciate that.' He's walking around sort of nervous about the podcast. He's like, 'My heart is racing, I know how much this means to you, I just really want this to be what you hoped it would be...' I've never seen this dude nervous, ever. He's professionally not a nervous person.""""\n\nAfter the recording, Swift said she still hadn't figured out what was going on.\n\n""""He was like, 'Do you wanna go walk around the backyard and have a glass of wine?' I'm like, 'I'm always gonna want to do that,'"""" she said. """"And then I realized exactly why all of the windows were curtained and why he was nervous, and it was the best possible case scenario.""""
",Lauren Piester,news
The Weeknd Reps His Hometown Team With New Toronto Blue Jays Merch Collaboration,"The Canadian R&B star teamed up with the Toronto Blue Jays on a line of t-shirts and hoodies, available on Fanatics",weeknd.jpg,Pop,10/24/25,The Weeknd,"""The Weeknd has never been shy about his Canadian roots, so it shouldn’t be a surprise who the Toronto-born superstar is pulling for in the MLB World Series. He’s taking his fandom a step further by teaming up with the Toronto Blue Jays and the MLB on a merch collection featuring hoodies and t-shirts.\n\nThe collaboration is available today on Fanatics, and coincides with the start of the World Series between the Dodgers and Blue Jays at Rogers Centre in Toronto.\n\nThe merch collection includes a t-shirt and hoodie in black or blue featuring the Weeknd‘s signature “”XO”"" wordmark, the Blue Jays logo, and World Series lettering across the front. The t-shirts are $60, and the hoodies are $150. In addition to Fanatics, the merch will be available at the MLB’s online store, as well as in-person at the Rogers Centre.\n\nLast week, the Blue Jays posted a promo video narrated by the Weeknd that highlighted the team’s historic return to the ALCS. The clip, set to the Weeknd’s Pharrell Williams-produced track “”Timeless”"", came ahead of the Blue Jays’ eventual win over the Seattle Mariners.\n\nThis is the team’s first ALCS win since 1993, when the Blue Jays pulled off a back-to-back World Series victory following their 1992 win — the franchise’s first ever. Game 1 of the World Series is airing on Fox at 8 p.m. ET., which is available with a live TV streaming service such as DirecTV or Fubo. In Canada, the series is airing on SportsNet.\n\nYou can check out the collection below.""
",Jonathan Zavaleta,news
The wheels came off': Radiohead explain hiatus,"Radiohead ""had to stop"" performing together because ""the wheels came off"".",radiohead.jpg,Alternative,10/26/25,Radiohead,"""The group announced last month they will be returning to the stage in a number of European cities later this year for their first gigs since 2018 and frontman Thom Yorke has now shed light on why they haven't performed together since their A Moon Shaped Pool world tour came to an end in 2018.\n\nHe told the Sunday Times' Culture magazine: “”I guess the wheels came off a bit, so we had to stop.”""\n\n“There were a lot of elements. The shows felt great but it was, like, let’s halt now before we walk off this cliff.”\n\nThom admitted he was also struggling to come to terms with the death of his first wife Dr. Rachel Owen, who passed away in December 2016 at the age of 48.\n\nHe said: “”I needed to stop anyway. Because I hadn’t really given myself time to grieve.”""\n\n“[My grief] was coming out in ways that made me think, I need to take this away.\n\n“Music can be a way to find meaning in things and the idea of having to stop it, even when it makes sense to, because you’re not well? Even at my lowest point? I can’t. I need something that I can hold on to.\n\n""But there have been points in my life where I have looked for solace in music and played the piano, but it literally hurts. Physically. The music hurts, because you’re going through trauma.”\n\nGuitarist Ed O'Brien admitted he was """"nervous"""" about performing with the Just hitmakers again because he was """"effectively over"""" the band by the end of the last tour and the group felt """"disconnected"""" from one another.\n\nHe confessed: """"I was nervous going into rehearsals because I was effectively over Radiohead [in 2018].\n\n""It wasn’t great on the last round. I enjoyed the gigs but hated the rest. We felt disconnected, f****** spent. It happens.\n\n""This has been our whole life – what else is there? Look, success has a funny effect on people – I just didn’t want to do it anymore. And I told them that.”""\n\nBut Ed ultimately realised his love for his bandmates and their music.\n\nHe added: “”I went through a very long dark night of the soul. I had a deep depression. I hit the bottom in 2021. And one of the things that was lovely coming out of it was realising how much I love these guys. I met them when I was 17 and I have gone from thinking I can’t see myself doing it again to realising that, you know, we do have some stellar songs.”""""
",Newsfeed,news
Djo performs to sweaty crowd at College Street Music Hall,"American musician and actor Joe Keery, who performs under the stage name Djo, played a sold-out show at College Street Music Hall Saturday night, officially opening his Another Bite tour.",djo.jpg,Alternative,09/29/25,Djo,"""Fans packed together in a sweat filled crowd Saturday night to see Joe Keery, who performs under the stage name Djo, begin his “Another Bite” tour alongside Post Animal, a psychedelic rock band.\n\nThe band opened for Keery, their former bandmate who had been part of the Chicago group’s formation in 2014. Keery reunited with the band this year for their album “Iron,” which was released on July 25.\n\n“Unfortunately I can’t write two songs that sound like they’re on the same record so you guys are going to have to hang on,” Djo told the crowd, which included his father, whom the singer shouted out.\n\nDjo played several songs from his genre-mixing discography, opening with the techno-pop song, “Awake.” He played many of his most popular songs throughout the night, including the ’80s-esque nostalgic rock hit, “End of Beginning.”\n\nQuinn Matteson ’28, who has been a fan of Djo since the release of his debut album, “Twenty Twenty,” in 2019, likes that the artist shifts genres. Matteson saw Djo perform earlier this year in Denver for his “Back on You” tour, before Djo released new albums “The Crus” in April and “The Crus Deluxe” on Sept. 12.\n\n“I really like the new album and the new Deluxe,” Matteson said. “It’s definitely a little bit different of a mood, but it works super well.”\n\nThroughout the show, Djo explored a variety of musical modes. He sang, played guitar and mixed music live on stage, sometimes cycling through all of these in a single song.""",Kiva Bank,news
Men I Trust announce two new albums and North American tour,,men.jpg,Alternative,02/11/25,Men I Trust,"""The Quebec-based indie dream pop outfit Men I Trust took to social media earlier today to announce not one, but two new full-length LPs, along with a 2025 North American tour. See the post here:\n\nThe new albums are titled Equus Asinus and Equus Caballus, though the band has yet to reveal their release dates. The tour kicks off on July 18 at NYC’s Prospect Park Bandshell and will visit most major U.S. cities and Toronto.\n\nSee Men I Trust Live\nPre-sale tickets are available now at menitrust.com using the code EQUUS, with public on-sale beginning February 13 at 12 PM EST. Check out the full set of tour dates below.""",Drew Simmons,news
Jonas Brothers’ 2025 World Series Performance Leaves Many MLB Fans Confused,"""If the Jays lose it's entirely on that weird Jonas Brothers performance in the middle of the game,"" one viewer wrote.",jonas.jpg,Pop,10/25/25,Jonas Brothers,"""The Jonas Brothers’ performance at the 2025 World Series left some viewers scratching their heads.\nOn Saturday (Oct. 24), the Toronto Blue Jays and Los Angeles Dodgers faced off in game two of the World Series at Toronto’s Rogers Centre.\n\nBy the fifth inning, the score was tied 1–1 when the game paused for the annual Stand Up To Cancer tribute.\nPlayers left the field as the stadium’s giant screens lit up, and fans, athletes, and broadcasters held signs bearing the names of loved ones impacted by cancer.\nMost viewers expected play to resume immediately after the emotional moment.\n\nBut instead, some baseball fans were caught off guard when the Jonas Brothers appeared onstage to perform 'I Can’t Lose,' from the New Jersey trio’s 2025 album, Greetings From Your Hometown.\n\n'If the Jays lose it’s entirely on that weird Jonas Brothers performance in the middle of the game,' one person wrote on X.\nAnother added, 'I’m trying to watch the World Series and they doing a damn Jonas Brothers concert after the 5th inning.'\n\nThe social media commentary didn’t stop there.\nMany fans expressed frustration over what they viewed as an ill-timed interruption.\n'A Jonas Brothers concert in the middle of a World Series pitcher’s duel??' one fan wrote.\nAnother joked, ''Thank you for honoring those fighting cancer. Here’s the Jonas Brothers.'' was not on my bingo card for this World Series.\nSome even credited the brief break with shifting the game’s momentum, joking that it gave the Dodgers an edge as they went on to defeat the Blue Jays 5–1.\n'Where were you when the Jonas Brothers saved the Dodgers’ season,' one commenter quipped.\n\nPrior to Saturday’s game, the Jonas Brothers — who serve as Stand Up To Cancer ambassadors — shared their gratitude for being part of the event.\n'We’re proud to celebrate our partnership with Mastercard in support of Stand Up to Cancer during such a meaningful moment at the World Series with a performance of ‘I Can’t Lose’ in tribute to this powerful campaign,' the siblings said in a statement.\n'As lifelong baseball fans, it’s special to be part of a moment where music and purpose come together.'\n\nDuring the opening game of the 2025 World Series, MLB featured another musical moment, with Pharrell and the Voices of Fire choir performing a two-song set from their Ophaním album.\nVoices of Fire also delivered both the U.S. and Canadian national anthems before the first pitch.""",Daniel Shirey,general
